Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-11-28,110.660004,111.459999,109.620003,109.809998,109.809998,23015500,198
2022-11-29,110.610001,111.800003,109.790001,110.540001,110.540001,14453200,199
2022-11-30,111.540001,111.900002,109.779999,111.339996,111.339996,23158100,200
2022-12-01,111.639999,112.07,110.18,110.800003,110.800003,14398300,201
2022-12-02,109.510002,111.709999,109.199997,109.860001,109.860001,15248400,202
2022-12-05,110.699997,111.360001,105.940002,106.849998,106.849998,19287700,203
2022-12-06,105.900002,107.040001,103.150002,103.879997,103.879997,21197000,204
2022-12-07,103.779999,104.849998,102.370003,103.650002,103.650002,20061700,205
2022-12-08,106.279999,106.800003,103.709999,104.419998,104.419998,21128800,206
2022-12-09,104.589996,105.949997,103.300003,103.540001,103.540001,21298200,207
2022-12-12,103.830002,106.239998,103.589996,106.089996,106.089996,20413200,208
2022-12-13,107.800003,108.540001,107.019997,107.25,107.25,24305300,209
2022-12-14,107.989998,108.300003,105.75,106.459999,106.459999,17597300,210
2022-12-15,105.330002,106.169998,103.699997,105.440002,105.440002,15365100,211
2022-12-16,103.690002,105.580002,103.129997,104.699997,104.699997,54596600,212
2022-12-19,105.260002,106.199997,104.379997,105.169998,105.169998,13611100,213
2022-12-20,105.169998,107.510002,105.07,106.690002,106.690002,14680000,214
2022-12-21,108.290001,108.589996,107.160004,108.059998,108.059998,13565400,215
2022-12-22,107.889999,108.190002,104.099998,105.879997,105.879997,13213000,216
2022-12-23,106.949997,108.739998,106.900002,108.68,108.68,11539400,217
2022-12-27,109.269997,110.470001,108.830002,110.190002,110.190002,11962100,218
2022-12-28,109.910004,110,107.900002,108.379997,108.379997,10702100,219
2022-12-29,107.989998,109.720001,107.989998,109.199997,109.199997,10534000,220
2022-12-30,108.610001,110.5,108.610001,110.300003,110.300003,11793300,221
2023-01-03,109.779999,110.019997,105.489998,106.510002,106.510002,15146200,222
2023-01-04,104.800003,107.160004,104.760002,106.82,106.82,18058400,223
2023-01-05,106.339996,109.949997,106.309998,109.209999,109.209999,15946600,224
2023-01-06,110.080002,111.989998,109.669998,110.529999,110.529999,16342300,225
2023-01-09,111.639999,111.639999,107.809998,108.470001,108.470001,17964600,226
2023-01-10,109.790001,110.330002,108.010002,110.089996,110.089996,15104600,227
2023-01-11,110.989998,111.449997,109.089996,111.370003,111.370003,16710400,228
2023-01-12,111.82,113.739998,111.739998,113.220001,113.220001,15357300,229
2023-01-13,113.110001,113.489998,112.160004,113.150002,113.150002,12008300,230
2023-01-17,113.410004,114.080002,112.669998,112.93,112.93,16542200,231
2023-01-18,113.260002,114.120003,110.400002,110.610001,110.610001,16399700,232
2023-01-19,110.07,112.129997,109.580002,111.32,111.32,12928000,233
2023-01-20,111.360001,113.440002,110.610001,113.349998,113.349998,16481400,234
2023-01-23,113.639999,114.589996,112.639999,112.760002,112.760002,16584400,235
2023-01-24,109.160004,114.019997,99.230003,113.809998,113.809998,13583100,236
2023-01-25,113.230003,113.650002,111.389999,113.209999,113.209999,11914700,237
2023-01-26,114.720001,117.779999,114.339996,117.760002,117.760002,21019700,238
2023-01-27,116.949997,117.669998,115.389999,115.610001,115.610001,15175700,239
2023-01-30,115.089996,115.489998,113.150002,113.559998,113.559998,18672100,240
2023-01-31,112.099998,116.400002,110.43,116.010002,116.010002,27861800,241
2023-02-01,115.830002,117.379997,113.339996,114.739998,114.739998,19464900,242
2023-02-02,114.849998,115.07,109.830002,111.150002,111.150002,24562100,243
2023-02-03,111.900002,114.110001,111.559998,111.919998,111.919998,20216500,244
2023-02-06,112.360001,113.089996,110.32,111.730003,111.730003,13855200,245
2023-02-07,112.389999,115.309998,112.019997,114.919998,114.919998,16013300,246
2023-02-08,115.050003,115.830002,113.849998,113.919998,113.919998,18459700,247
2023-02-09,114.620003,116.239998,114.18,114.349998,114.349998,17439300,248
2023-02-10,116.510002,119.629997,116.160004,119.169998,119.169998,24910100,249
2023-02-13,117.720001,118.18,115.915001,117.955002,117.955002,9087146,250
